,name,na_sales,eu_sales,jp_sales,other_sales,global_sales
73,Animal Crossing: New Leaf,2.03,2.36,4.39,0.39,9.16
74,Mario Party DS,4.4,1.85,1.98,0.68,8.91
75,The Elder Scrolls V: Skyrim,5.05,2.79,0.1,0.85,8.79
77,FIFA 16,1.12,6.12,0.06,1.28,8.57
78,Halo 2,6.82,1.53,0.05,0.08,8.49
79,Wii Party,1.75,3.47,2.49,0.67,8.38
80,Mario Party 8,3.74,2.24,1.58,0.7,8.27
81,FIFA Soccer 13,1.06,5.01,0.13,1.97,8.16
84,Final Fantasy X,2.91,2.07,2.73,0.33,8.05
85,The Sims 3,0.99,6.42,0.0,0.6,8.01
88,Final Fantasy VIII,2.28,1.72,3.63,0.23,7.86
90,Pokémon Platinum Version,2.76,1.72,2.69,0.54,7.72
91,Grand Theft Auto: Liberty City Stories,2.9,2.81,0.24,1.73,7.69
92,Call of Duty: Advanced Warfare,2.81,3.48,0.14,1.23,7.66
94,FIFA 17,0.66,5.75,0.08,1.11,7.59
97,Super Mario Galaxy 2,3.56,2.35,0.98,0.62,7.51
100,Call of Duty: World at War,4.81,1.88,0.0,0.69,7.38
101,Battlefield 3,4.46,2.11,0.06,0.69,7.32
102,Need for Speed Underground,3.27,2.83,0.08,1.02,7.2
103,Just Dance,3.48,2.99,0.0,0.73,7.2
104,Battlefield 3,2.85,2.89,0.35,1.08,7.17
105,Fallout 4,2.53,3.27,0.24,1.13,7.16
106,Tekken 3,3.27,2.22,1.4,0.29,7.16
107,The Legend of Zelda: Twilight Princess,3.74,2.14,0.6,0.68,7.15
109,Crash Bandicoot 3: Warped,3.68,1.75,1.42,0.28,7.13
110,Mario Kart 8,3.15,2.15,1.28,0.51,7.09
111,Super Smash Bros. Melee,4.41,1.04,1.39,0.22,7.07
113,Need for Speed Underground 2,2.71,3.02,0.08,1.09,6.9
114,Medal of Honor: Frontline,2.93,2.75,0.17,0.99,6.83
116,Just Dance 4,4.05,2.16,0.0,0.55,6.76
117,Gears of War 2,4.15,1.9,0.06,0.64,6.75
118,Uncharted 3: Drake's Deception,2.77,2.75,0.19,1.03,6.74
120,Call of Duty 4: Modern Warfare,3.11,2.26,0.28,1.03,6.68
121,Uncharted 2: Among Thieves,3.27,2.2,0.21,0.98,6.66
123,Big Brain Academy,1.66,2.75,1.6,0.62,6.62
125,Red Dead Redemption,2.79,2.53,0.17,0.99,6.49
126,FIFA 14,0.78,4.24,0.07,1.37,6.47
127,Assassin's Creed III,2.64,2.52,0.16,1.12,6.45
128,Donkey Kong Country Returns,3.17,1.79,1.03,0.46,6.44
129,Halo: Combat Evolved,4.98,1.3,0.08,0.07,6.43
130,The Elder Scrolls V: Skyrim,2.55,2.6,0.25,1.0,6.41
131,Pokémon Emerald Version,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,3.64,1.2,1.49,0.07,6.4
134,Halo 3: ODST,4.34,1.34,0.06,0.61,6.34
135,Red Dead Redemption,3.7,1.95,0.09,0.58,6.32
136,Super Mario Sunshine,4.01,1.26,0.87,0.17,6.31
138,World of Warcraft,0.08,6.21,0.0,0.0,6.29
139,Driver,3.11,2.8,0.02,0.33,6.27
140,Gears of War 3,4.05,1.59,0.07,0.5,6.21
141,Kinect Sports,3.92,1.73,0.03,0.51,6.19
142,Gears of War,3.54,1.88,0.07,0.6,6.09
143,FIFA 15,0.8,4.33,0.05,0.9,6.08
144,Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72,6.05
146,Metal Gear Solid,3.18,1.83,0.78,0.24,6.03
147,Metal Gear Solid 4: Guns of the Patriots,2.63,1.71,0.83,0.82,5.99
148,Final Fantasy XII,1.88,0.0,2.33,1.74,5.95
149,The Last of Us,2.41,2.18,0.28,0.99,5.87
150,LittleBigPlanet,2.8,1.98,0.17,0.87,5.82
151,Resident Evil 2,1.88,1.47,2.02,0.45,5.82
152,Dragon Quest IX: Sentinels of the Starry Skies,0.63,0.67,4.35,0.15,5.78
153,Tekken 2,2.26,1.89,1.36,0.23,5.74
154,Destiny,2.49,2.07,0.16,0.92,5.64
155,LEGO Star Wars: The Complete Saga,3.57,1.55,0.0,0.51,5.64
156,Cooking Mama,3.07,1.91,0.07,0.57,5.63
159,Assassin's Creed II,2.54,1.93,0.21,0.86,5.55
160,Assassin's Creed,3.28,1.64,0.07,0.56,5.54
161,Forza Motorsport 3,2.99,1.9,0.1,0.5,5.49
162,Super Mario Advance,3.14,1.24,0.91,0.2,5.49
163,Monster Hunter Freedom Unite,0.47,0.55,4.13,0.34,5.48
164,Batman: Arkham City,2.71,1.85,0.11,0.81,5.48
165,Grand Theft Auto V,2.81,2.19,0.0,0.47,5.48
166,Mario Kart: Super Circuit,2.62,1.64,0.99,0.23,5.47
169,Crash Bandicoot: The Wrath of Cortex,2.07,2.29,0.24,0.82,5.42
170,Call of Duty: World at War,2.73,1.83,0.0,0.83,5.39
171,Uncharted 4: A Thief's End,1.85,2.5,0.19,0.85,5.38
173,Final Fantasy XIII,1.74,1.21,1.87,0.51,5.33
175,Final Fantasy IX,1.62,0.77,2.78,0.14,5.3
176,Assassin's Creed III,3.13,1.69,0.03,0.44,5.29
177,Final Fantasy X-2,1.92,1.08,2.11,0.17,5.29
179,Call of Duty: Advanced Warfare,3.22,1.55,0.01,0.48,5.27
181,Assassin's Creed II,3.11,1.55,0.08,0.51,5.26
185,New Super Mario Bros. U,2.3,1.34,1.27,0.32,5.22
186,Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2,5.21
188,Professor Layton and the Curious Village,1.21,2.43,1.03,0.52,5.19
190,FIFA Soccer 13,1.09,3.47,0.03,0.57,5.16
192,Diablo III,2.44,2.16,0.0,0.54,5.14
193,Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8,5.13
196,Guitar Hero II,3.81,0.63,0.0,0.68,5.12
197,Fable III,3.59,1.08,0.05,0.38,5.1
199,Resident Evil 5,1.96,1.41,1.08,0.64,5.09
200,The Legend of Zelda: Phantom Hourglass,1.85,1.8,0.95,0.48,5.08
202,FIFA Soccer 11,0.61,3.28,0.06,1.12,5.07
203,Resident Evil,2.05,1.16,1.11,0.73,5.05
204,Grand Theft Auto: Vice City Stories,1.7,1.99,0.16,1.18,5.03
205,Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2,5.02
208,Guitar Hero III: Legends of Rock,3.49,0.01,0.01,1.48,4.98
209,Link's Crossbow Training,3.05,1.17,0.29,0.46,4.98
211,Fallout 3,3.4,0.99,0.09,0.45,4.93
212,Uncharted: Drake's Fortune,2.31,1.72,0.12,0.77,4.92
213,Madden NFL 06,3.98,0.26,0.01,0.66,4.91
218,StarCraft II: Wings of Liberty,2.57,1.68,0.0,0.58,4.84
219,Assassin's Creed,1.91,2.0,0.09,0.82,4.82
220,God of War III,2.74,1.33,0.12,0.61,4.8
221,Crash Team Racing,2.57,1.57,0.44,0.21,4.79
222,LEGO Star Wars: The Complete Saga,2.83,1.48,0.0,0.45,4.76
223,Driver 2,2.36,2.1,0.02,0.25,4.73
224,Batman: Arkham City,2.99,1.27,0.04,0.42,4.73
227,Tony Hawk's Pro Skater 2,3.05,1.41,0.02,0.2,4.68
228,The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7,4.67
229,Tomb Raider,2.29,1.97,0.13,0.24,4.63
230,Animal Crossing: City Folk,1.82,1.12,1.32,0.36,4.62
231,Uncharted: The Nathan Drake Collection,2.07,1.71,0.08,0.76,4.62
233,The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13,4.6
234,Guitar Hero III: Legends of Rock,3.04,1.11,0.0,0.43,4.6
235,Luigi's Mansion: Dark Moon,1.8,1.39,1.11,0.29,4.59
236,Forza Motorsport 4,2.08,1.97,0.06,0.46,4.57
238,Madden NFL 2005,4.18,0.26,0.01,0.08,4.53
239,Guitar Hero III: Legends of Rock,3.19,0.91,0.01,0.42,4.53
241,Madden NFL 07,3.63,0.24,0.01,0.61,4.49
242,Halo 5: Guardians,2.78,1.27,0.03,0.41,4.48
243,Spider-Man: The Movie,2.71,1.51,0.03,0.23,4.48
245,Call of Duty: Infinite Warfare,1.61,2.0,0.15,0.71,4.46
246,God of War,2.71,1.29,0.02,0.43,4.45
247,Splatoon,1.54,1.18,1.46,0.26,4.43
248,Nintendo Land,2.52,1.11,0.46,0.33,4.42
249,Tony Hawk's Pro Skater 3,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,2.82,1.03,0.13,0.4,4.38
253,Need for Speed: Most Wanted,2.03,1.79,0.08,0.47,4.37
254,Michael Jackson: The Experience,2.64,1.33,0.01,0.39,4.36
256,Resistance: Fall of Man,1.74,1.72,0.14,0.75,4.34
258,Kingdom Hearts II,2.2,0.58,1.38,0.17,4.33
260,Super Mario 3D World,2.11,1.16,0.73,0.32,4.32
265,Fable II,2.51,1.24,0.11,0.41,4.27
266,Namco Museum,3.0,1.11,0.05,0.07,4.24
267,Batman: Arkham Asylum,2.24,1.31,0.07,0.61,4.23
268,Metal Gear Solid 3: Snake Eater,1.46,0.0,0.83,1.93,4.23
269,Assassin's Creed: Revelations,1.41,2.01,0.1,0.7,4.22
270,Fallout 4,2.51,1.32,0.01,0.38,4.22
271,FIFA 14,0.92,2.89,0.01,0.4,4.22
272,Daxter,2.45,1.01,0.0,0.75,4.21
274,FIFA Soccer 06,0.78,2.55,0.04,0.84,4.21
275,EyeToy Play,0.88,2.3,0.2,0.83,4.2
276,Gran Turismo 5 Prologue,1.28,1.82,0.57,0.52,4.19
277,Assassin's Creed: Revelations,2.25,1.47,0.04,0.43,4.19
280,Street Fighter IV,2.03,1.04,0.58,0.52,4.16
283,Madden NFL 2003,3.36,0.21,0.01,0.56,4.14
284,Half-Life,4.03,0.0,0.09,0.0,4.12
288,World of Warcraft: The Burning Crusade,2.57,1.52,0.0,0.0,4.09
289,Battlefield 1,1.1,2.15,0.21,0.61,4.08
290,God of War II,2.32,0.04,0.04,1.67,4.07
292,Fallout: New Vegas,2.66,1.03,0.04,0.33,4.05
293,Forza Motorsport 2,2.35,1.27,0.03,0.41,4.05
294,Carnival Games,2.12,1.47,0.05,0.42,4.05
295,Watch Dogs,1.4,1.9,0.11,0.64,4.05
297,Tekken Tag Tournament,1.68,1.51,0.51,0.35,4.05
298,Far Cry 4,1.13,2.18,0.1,0.63,4.04
302,Left 4 Dead 2,2.67,0.87,0.05,0.38,3.97
303,The Witcher 3: Wild Hunt,1.02,2.13,0.23,0.59,3.97
304,Assassin's Creed: Unity,1.19,2.07,0.08,0.62,3.96
305,Batman: Arkham Knight,1.53,1.69,0.1,0.64,3.95
306,The Legend of Zelda: Skyward Sword,2.03,1.16,0.37,0.38,3.95
307,Fallout 3,2.15,1.13,0.07,0.59,3.94
308,Professor Layton and the Diabolical Box,0.9,1.76,0.92,0.37,3.94
310,EA Sports Active,2.09,1.35,0.06,0.4,3.9
311,Tony Hawk's Underground,2.29,1.17,0.01,0.42,3.9
312,Monster Hunter 4 Ultimate,0.68,0.48,2.62,0.11,3.89
313,The Elder Scrolls V: Skyrim,1.16,2.12,0.0,0.6,3.88
314,NBA 2K16,2.49,0.66,0.03,0.69,3.88
315,Tekken 5,0.93,1.94,0.31,0.7,3.87
317,MotorStorm,1.53,1.6,0.06,0.67,3.87
319,World Soccer Winning Eleven 8 International,0.16,1.89,1.12,0.68,3.85
320,Sports Champions,2.13,1.12,0.1,0.5,3.84
323,Call of Duty: Ghosts,1.78,1.43,0.05,0.57,3.83
324,Flash Focus: Vision Training in Minutes a Day,0.86,1.56,1.05,0.35,3.83
325,Tom Clancy's The Division,1.35,1.7,0.15,0.6,3.8
326,Big Brain Academy: Wii Degree,1.05,1.91,0.41,0.42,3.79
329,LEGO Indiana Jones: The Original Adventures,2.4,1.01,0.0,0.36,3.76
330,The Sims: Unleashed,2.03,1.56,0.0,0.17,3.76
332,Harry Potter and the Sorcerer's Stone,1.37,2.0,0.14,0.22,3.73
335,Super Paper Mario,1.95,0.86,0.59,0.31,3.71
336,Spyro: Year of the Dragon,1.93,1.58,0.0,0.19,3.71
337,Assassin's Creed IV: Black Flag,1.33,1.68,0.13,0.57,3.71
338,FIFA Soccer 2005,0.58,2.48,0.04,0.59,3.7
341,Tony Hawk's Pro Skater 4,2.13,1.18,0.01,0.35,3.67
343,MySims,1.58,1.59,0.08,0.41,3.66
344,Midnight Club 3: DUB Edition,1.65,1.21,0.0,0.79,3.65
346,SOCOM: U.S. Navy SEALs,2.53,0.81,0.06,0.24,3.65
347,Jak and Daxter: The Precursor Legacy,2.08,1.09,0.15,0.33,3.64
349,Pro Evolution Soccer 2008,0.05,0.0,0.64,2.93,3.63
350,Resident Evil 4,2.08,0.83,0.46,0.25,3.62
351,Guitar Hero: World Tour,2.32,0.96,0.0,0.34,3.62
352,FIFA Soccer 10,0.6,2.45,0.05,0.52,3.62
353,Star Wars: Battlefront,1.93,1.22,0.03,0.44,3.61
355,The Simpsons: Road Rage,2.02,1.17,0.0,0.42,3.61
356,Luigi's Mansion,2.38,0.67,0.46,0.1,3.6
357,Battlefield 4,1.35,1.55,0.17,0.51,3.59
358,Star Wars: Battlefront II,2.18,1.02,0.03,0.37,3.59
360,Cooking Mama 2: Dinner With Friends,1.6,1.49,0.1,0.39,3.58
363,Grand Theft Auto: Liberty City Stories,1.56,1.4,0.07,0.5,3.54
364,The Getaway,1.23,1.77,0.05,0.49,3.54
366,James Bond 007: Agent Under Fire,1.9,1.13,0.1,0.41,3.53
369,FIFA Soccer 11,0.71,2.39,0.02,0.4,3.52
371,Left 4 Dead,2.66,0.49,0.05,0.3,3.51
373,Assassin's Creed: Unity,2.27,0.9,0.0,0.33,3.5
375,Resident Evil 5,2.11,0.93,0.12,0.34,3.5
376,Assassin's Creed: Brotherhood,2.85,0.38,0.03,0.24,3.49
378,Battlefield 4,1.3,1.42,0.27,0.5,3.49
379,Batman: Arkham Asylum,2.2,0.95,0.02,0.31,3.48
380,Battlefield 4,2.15,1.01,0.02,0.31,3.48
381,Battlefield: Bad Company 2,2.1,1.01,0.04,0.32,3.47
383,Guitar Hero: On Tour,2.1,1.01,0.01,0.35,3.46
384,Clubhouse Games,0.59,1.79,0.73,0.34,3.45
386,Borderlands,2.4,0.71,0.03,0.29,3.44
387,Tekken 4,1.55,1.27,0.33,0.29,3.44
389,Grand Theft Auto 2,1.13,2.07,0.0,0.22,3.42
390,Metal Gear Solid V: The Phantom Pain,1.09,1.36,0.49,0.48,3.41
391,Spider-Man 2,1.75,1.2,0.02,0.43,3.41
393,FIFA Soccer 2003,0.46,2.28,0.05,0.61,3.4
394,LittleBigPlanet 2,1.83,1.05,0.06,0.46,3.39
395,Crash Bash,1.56,1.47,0.19,0.17,3.39
396,Assassin's Creed Syndicate,0.81,1.99,0.07,0.52,3.39
397,LEGO Batman: The Videogame,2.04,1.02,0.0,0.32,3.38
398,Destiny,2.14,0.92,0.0,0.31,3.37
401,Far Cry 3,0.88,1.7,0.1,0.67,3.35
404,James Bond 007: Nightfire,1.45,1.29,0.12,0.46,3.33
407,Star Wars Episode III: Revenge of the Sith,1.47,1.39,0.03,0.43,3.32
408,The Legend of Zelda: Spirit Tracks,1.4,0.91,0.74,0.26,3.31
409,Max Payne,1.99,1.05,0.05,0.22,3.31
410,Assassin's Creed IV: Black Flag,1.9,1.11,0.01,0.29,3.3
411,The Lord of the Rings: The Return of the King,1.5,1.28,0.05,0.46,3.28
413,Gears of War: Ultimate Edition,2.61,0.33,0.0,0.34,3.28
414,True Crime: Streets of LA,1.89,1.05,0.02,0.31,3.27
415,Professor Layton and the Unwound Future,0.6,1.57,0.82,0.27,3.26
417,FIFA 16,0.89,2.12,0.0,0.24,3.25
418,Wii Music,1.35,1.11,0.46,0.32,3.25
420,Madden NFL 16,2.34,0.3,0.0,0.6,3.24
421,Gran Turismo 6,0.72,1.67,0.4,0.44,3.23
422,Halo: The Master Chief Collection,1.91,1.0,0.03,0.29,3.23
424,Super Mario Maker,1.18,0.89,0.94,0.2,3.21
429,God of War: Chains of Olympus,1.48,1.0,0.04,0.66,3.18
430,Enter the Matrix,1.78,1.12,0.09,0.19,3.18
431,Crisis Core: Final Fantasy VII,1.35,0.59,0.8,0.43,3.18
432,Dance Central,2.15,0.76,0.01,0.26,3.17
433,L.A. Noire,1.27,1.29,0.12,0.49,3.17
434,Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17,3.17
435,Animal Crossing,1.92,0.16,0.99,0.09,3.15
436,FIFA Soccer 08,0.68,0.0,0.0,2.46,3.14
438,Spider-Man,1.7,1.25,0.02,0.16,3.13
439,Mario Party 9,1.06,1.09,0.76,0.22,3.13
442,Sonic Rush,1.21,1.56,0.06,0.29,3.12
444,Rhythm Heaven,0.55,0.5,1.93,0.13,3.11
445,Fallout: New Vegas,1.52,1.03,0.1,0.46,3.11
446,Personal Trainer: Cooking,0.9,1.0,1.03,0.17,3.11
447,The Elder Scrolls IV: Oblivion,1.69,0.85,0.14,0.43,3.1
448,The Legend of Zelda: A Link Between Worlds,1.4,1.01,0.46,0.23,3.1
449,Resident Evil 6,0.88,0.94,0.88,0.4,3.1
450,Mass Effect 2,1.99,0.81,0.03,0.27,3.1
451,Dragon Ball Z: Budokai,2.17,0.28,0.55,0.08,3.09
452,Madden NFL 2002,2.5,0.16,0.01,0.42,3.08
455,The Sims: Vacation,1.72,1.21,0.0,0.14,3.07
457,Animal Crossing: Happy Home Designer,0.51,1.02,1.4,0.12,3.05
458,The Sims 4,1.0,1.82,0.0,0.23,3.05
459,Borderlands 2,1.89,0.88,0.04,0.25,3.05
460,LEGO Batman: The Videogame,1.75,1.01,0.0,0.29,3.05
461,Kung Fu Panda,1.91,0.84,0.0,0.29,3.04
462,Mass Effect 3,1.94,0.84,0.03,0.24,3.04
463,Heavy Rain,1.29,1.21,0.06,0.47,3.03
465,Saints Row 2,1.94,0.79,0.02,0.28,3.03
466,Tom Clancy's Splinter Cell,1.85,1.04,0.0,0.13,3.02
469,FIFA 14,0.61,1.85,0.11,0.44,3.01
470,Killzone 2,1.4,1.06,0.08,0.47,3.01
471,Far Cry 3,1.38,1.32,0.02,0.28,3.0
472,Epic Mickey,2.04,0.63,0.12,0.22,3.0
473,NBA 2K13,2.6,0.2,0.01,0.19,3.0
474,Dragon Ball Z: Budokai Tenkaichi 3,1.15,0.0,0.76,1.09,3.0
477,The Sims: Livin Large,1.67,1.18,0.0,0.13,2.99
478,World Soccer Winning Eleven 6 International,0.12,1.26,1.16,0.45,2.99
479,Devil May Cry,1.36,0.86,0.64,0.13,2.99
480,Star Wars: The Old Republic,1.58,1.01,0.0,0.38,2.96
481,Middle-Earth: Shadow of Mordor,1.01,1.43,0.05,0.47,2.96
482,Sonic Heroes,1.04,1.37,0.06,0.49,2.96
483,Hitman 2: Silent Assassin,1.36,1.15,0.04,0.41,2.96
484,Titanfall,1.84,0.8,0.04,0.27,2.95
485,Battlefield: Bad Company 2,1.33,1.1,0.08,0.44,2.95
487,SOCOM II: U.S. Navy SEALs,2.22,0.51,0.06,0.15,2.94
489,Pac-Man Collection,2.07,0.77,0.05,0.05,2.94
490,Street Fighter IV,1.82,0.7,0.15,0.26,2.94
491,inFAMOUS,1.76,0.68,0.12,0.37,2.93
492,Kirby Super Star Ultra,1.55,0.04,1.19,0.15,2.92
493,Call of Duty: Ghosts,1.88,0.77,0.0,0.27,2.92
496,Mass Effect,1.83,0.79,0.03,0.27,2.91
497,Sonic Mega Collection Plus,1.54,1.14,0.0,0.22,2.9
498,World Soccer Winning Eleven 7 International,0.08,1.24,1.13,0.45,2.9
499,Sega Superstars Tennis,1.75,0.86,0.0,0.28,2.89
500,Hot Shots Golf 3,0.99,0.32,1.38,0.2,2.89
501,Cooking Mama: Cook Off,1.41,1.12,0.05,0.3,2.89
502,Call of Duty: Finest Hour,1.51,1.12,0.01,0.24,2.89
503,WarioWare: Smooth Moves,0.86,1.04,0.73,0.26,2.89
507,Madden NFL 13,2.53,0.15,0.0,0.17,2.86
508,The Elder Scrolls III: Morrowind,2.09,0.63,0.03,0.11,2.86
509,Assassin's Creed IV: Black Flag,1.07,1.31,0.06,0.42,2.85
513,Mortal Kombat,1.98,0.53,0.0,0.34,2.84
514,Madden NFL 10,2.52,0.09,0.0,0.22,2.83
516,BioShock,1.65,0.85,0.05,0.28,2.83
517,Metroid Prime,1.96,0.67,0.1,0.09,2.82
518,Assassin's Creed: Brotherhood,1.87,0.55,0.11,0.29,2.82
522,Medal of Honor,1.28,1.04,0.07,0.42,2.81
529,inFAMOUS: Second Son,1.28,0.98,0.07,0.46,2.79
533,NBA Street,2.19,0.22,0.0,0.38,2.79
534,Jak II,1.68,0.74,0.0,0.36,2.78
536,Need for Speed: Hot Pursuit,1.05,1.23,0.03,0.47,2.78
537,Skylanders: Spyro's Adventure,1.35,1.13,0.0,0.3,2.78
538,Battlefield 3,0.89,1.43,0.0,0.46,2.78
539,Mortal Kombat X,1.5,0.8,0.0,0.48,2.78
540,The Sims,1.41,1.12,0.0,0.24,2.77
541,Killzone 3,1.45,0.86,0.09,0.38,2.77
542,Star Wars: The Force Unleashed,1.74,0.77,0.0,0.26,2.77
544,Yoshi's Island DS,1.45,0.07,1.1,0.15,2.76
545,Saints Row: The Third,1.25,1.14,0.07,0.3,2.76
548,Tekken 6,1.2,0.97,0.17,0.42,2.75
551,Sonic and the Secret Rings,1.21,1.19,0.04,0.29,2.73
553,The Legend of Zelda: A Link to the Past,1.75,0.52,0.33,0.1,2.7
554,Onimusha: Warlords,0.99,0.48,1.09,0.14,2.7
556,L.A. Noire,1.52,0.92,0.02,0.24,2.7
557,Call of Duty 3,1.49,0.92,0.02,0.27,2.7
558,Madden NFL 12,2.42,0.11,0.0,0.16,2.69
559,LEGO Star Wars II: The Original Trilogy,1.85,0.64,0.01,0.19,2.69
560,Killzone: Shadow Fall,0.89,1.33,0.08,0.39,2.69
561,Madden NFL 11,2.38,0.12,0.0,0.18,2.69
562,Burnout 3: Takedown,1.23,1.11,0.0,0.34,2.68
565,Mario vs. Donkey Kong: Mini-Land Mayhem!,1.63,0.51,0.35,0.18,2.67
566,Professor Layton and the Last Specter,0.28,1.39,0.68,0.32,2.67
567,Call Of Duty 2: Big Red One,1.48,0.92,0.01,0.26,2.67
568,Medal of Honor,1.44,1.09,0.0,0.14,2.67
569,Fable,1.99,0.58,0.0,0.09,2.66
570,Guitar Hero: World Tour,1.78,0.63,0.0,0.25,2.66
571,FIFA 17,0.43,2.05,0.0,0.17,2.65
573,Tom Clancy's Splinter Cell,1.15,1.11,0.0,0.4,2.65
575,Need for Speed: Shift,0.69,1.4,0.04,0.52,2.65
577,Medal of Honor Heroes,0.86,1.11,0.01,0.66,2.65
578,Final Fantasy XIII-2,0.78,0.73,0.89,0.23,2.63
579,Midnight Club: Street Racing,2.0,0.47,0.02,0.14,2.63
580,Skate 3,1.47,0.93,0.0,0.24,2.63
581,ESPN NFL 2K5,2.15,0.12,0.0,0.36,2.62
582,Halo Wars,1.54,0.8,0.04,0.24,2.62
583,NBA 2K12,2.31,0.14,0.01,0.16,2.62
585,FIFA Soccer 10,0.59,1.79,0.01,0.23,2.62
586,Medal of Honor,1.56,0.8,0.04,0.21,2.61
587,Harry Potter and the Chamber of Secrets,0.9,1.22,0.04,0.44,2.61
589,God of War Collection,1.7,0.44,0.06,0.4,2.6
590,NBA Live 2005,2.03,0.21,0.0,0.35,2.59
591,Mario Strikers Charged,1.05,1.05,0.24,0.24,2.58
592,FIFA Soccer 09,0.48,1.63,0.04,0.43,2.58
593,Style Savvy,0.62,0.82,0.96,0.18,2.58
594,WWE SmackDown vs. RAW 2007,1.4,0.88,0.03,0.26,2.58
595,LEGO Star Wars: The Complete Saga,1.53,0.81,0.0,0.24,2.57
597,Madden NFL 08,2.14,0.08,0.0,0.35,2.57
598,Monster Hunter Freedom 2,0.37,0.27,1.75,0.18,2.57
601,Sonic Adventure 2 Battle,1.7,0.59,0.21,0.07,2.56
604,Madden NFL 13,2.11,0.22,0.0,0.23,2.56
605,Dragon Age: Origins,1.76,0.55,0.03,0.22,2.56
606,Pokémon Colosseum,1.21,0.57,0.7,0.07,2.54
607,LittleBigPlanet,0.64,1.22,0.01,0.67,2.54
608,Madden NFL 09,2.21,0.12,0.0,0.2,2.53
610,Crazy Taxi,1.13,1.12,0.06,0.22,2.52
