,name,platform,year_of_release,genre,publisher,developer,rating
157,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
158,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
159,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
160,The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio,T
164,Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,SquareSoft,T
167,Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,Rockstar Leeds,M
168,Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,Rockstar Leeds,M
169,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,Sledgehammer Games,M
170,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,Sledgehammer Games,M
171,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,Sledgehammer Games,M
173,FIFA 17,PlayStation 4,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
174,FIFA 17,PlayStation 4,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
175,FIFA 17,PlayStation 4,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
178,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,Nintendo EAD Tokyo,E
181,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,Treyarch,M
182,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,Treyarch,M
183,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,Treyarch,M
184,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,Treyarch,M
185,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,Treyarch,M
186,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,EA DICE,M
187,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,EA DICE,M
188,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,EA DICE,M
189,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,EA Black Box,E
190,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,EA Black Box,E
191,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,EA Black Box,E
192,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,EA Black Box,E
193,Just Dance,Wii,2009,Misc,Ubisoft,Ubisoft Paris,E10+
194,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,EA DICE,M
195,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,EA DICE,M
196,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,EA DICE,M
197,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
198,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
199,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
200,Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,Namco,T
201,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,Nintendo,T
202,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,Nintendo,T
204,Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,Naughty Dog,E
205,Mario Kart 8,Wii U,2014,Racing,Nintendo,Nintendo,E
206,Super Smash Bros. Melee,GameCube,2001,Fighting,Nintendo,HAL Labs,T
208,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,EA Canada,E
209,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,EA Canada,E
210,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,EA Canada,E
211,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,EA Canada,E
214,Just Dance 4,Wii,2012,Misc,Ubisoft,Ubisoft,E10+
215,Just Dance 4,Wii,2012,Misc,Ubisoft,Ubisoft,E10+
216,Just Dance 4,Wii,2012,Misc,Ubisoft,Ubisoft,E10+
217,Gears of War 2,Xbox 360,2008,Shooter,Microsoft Game Studios,Epic Games,M
218,Uncharted 3: Drake's Deception,PlayStation 3,2011,Action,Sony Computer Entertainment,Naughty Dog,T
220,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,Infinity Ward,M
221,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,Infinity Ward,M
222,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,Infinity Ward,M
223,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,Infinity Ward,M
224,Uncharted 2: Among Thieves,PlayStation 3,2009,Action,Sony Computer Entertainment,Naughty Dog,T
226,Big Brain Academy,DS,2005,Misc,Nintendo,Nintendo,E
228,Red Dead Redemption,PlayStation 3,2010,Action,Take-Two Interactive,Rockstar San Diego,M
229,Red Dead Redemption,PlayStation 3,2010,Action,Take-Two Interactive,Rockstar San Diego,M
230,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,EA Canada,E
231,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,EA Canada,E
232,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,EA Canada,E
233,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,EA Canada,E
234,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,Ubisoft,M
235,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,Ubisoft,M
236,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,Ubisoft,M
237,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,Ubisoft,M
238,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,Retro Studios,E
239,Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,Bungie Software,M
240,Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,Bungie Software,M
241,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
242,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
243,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
244,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
246,Kingdom Hearts,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,SquareSoft,E
248,Halo 3: ODST,Xbox 360,2009,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
249,Red Dead Redemption,Xbox 360,2010,Action,Take-Two Interactive,Rockstar San Diego,M
250,Red Dead Redemption,Xbox 360,2010,Action,Take-Two Interactive,Rockstar San Diego,M
251,Super Mario Sunshine,GameCube,2002,Platform,Nintendo,Nintendo,E
253,World of Warcraft,PC,2004,Role-Playing,Activision,Blizzard Entertainment,T
254,Driver,PlayStation,1999,Action,GT Interactive,Reflections Interactive,T
255,Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,Epic Games,M
256,Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,Rare Ltd.,E10+
257,Gears of War,Xbox 360,2006,Shooter,Microsoft Game Studios,Epic Games,M
258,Gears of War,Xbox 360,2006,Shooter,Microsoft Game Studios,Epic Games,M
259,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,EA Sports,E
260,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,EA Sports,E
261,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,EA Sports,E
262,Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001,Action,Konami Digital Entertainment,KCEJ,M
264,Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,KCEJ,M
265,Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,KCEJ,M
266,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action,Konami Digital Entertainment,Kojima Productions,M
267,Final Fantasy XII,PlayStation 2,2006,Role-Playing,Square Enix,Square Enix,T
268,The Last of Us,PlayStation 3,2013,Action,Sony Computer Entertainment Europe,Naughty Dog,M
269,LittleBigPlanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",E
270,LittleBigPlanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",E
271,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
272,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
273,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
274,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
275,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
276,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
277,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,Capcom,M
278,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,Level 5,E10+
279,Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,Namco,T
280,Destiny,PlayStation 4,2014,Shooter,Activision,"Bungie Software, Bungie",T
281,Destiny,PlayStation 4,2014,Shooter,Activision,"Bungie Software, Bungie",T
282,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,Traveller's Tales,E10+
283,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,Traveller's Tales,E10+
284,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,Traveller's Tales,E10+
285,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,Traveller's Tales,E10+
286,Cooking Mama,DS,2006,Simulation,505 Games,Taito Corporation,E
290,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,Ubisoft Montreal,M
291,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,Ubisoft Montreal,M
292,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,Ubisoft Montreal,M
293,Assassin's Creed,Xbox 360,2007,Adventure,Ubisoft,Ubisoft Montreal,M
294,Assassin's Creed,Xbox 360,2007,Adventure,Ubisoft,Ubisoft Montreal,M
295,Forza Motorsport 3,Xbox 360,2009,Racing,Microsoft Game Studios,Turn 10,E
296,Super Mario Advance,Game Boy Advance,2001,Platform,Nintendo,Nintendo,E
297,Monster Hunter Freedom Unite,PlayStation Portable,2008,Role-Playing,Capcom,Capcom,T
298,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
299,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
300,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
301,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,Rockstar North,M
302,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,Rockstar North,M
303,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,Rockstar North,M
304,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,Rockstar North,M
305,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,Rockstar North,M
309,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,Traveller's Tales,E
310,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,Traveller's Tales,E
311,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,Traveller's Tales,E
312,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,Treyarch,M
313,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,Treyarch,M
314,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,Treyarch,M
315,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,Treyarch,M
316,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,Treyarch,M
317,Uncharted 4: A Thief's End,PlayStation 4,2016,Shooter,Sony Computer Entertainment,Naughty Dog,T
319,Final Fantasy XIII,PlayStation 3,2009,Role-Playing,Square Enix,Square Enix,T
320,Final Fantasy XIII,PlayStation 3,2009,Role-Playing,Square Enix,Square Enix,T
322,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,SquareSoft,T
323,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,SquareSoft,T
324,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,SquareSoft,T
325,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,SquareSoft,T
326,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,Ubisoft,M
327,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,Ubisoft,M
328,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,Ubisoft,M
329,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,Ubisoft,M
330,Final Fantasy X-2,PlayStation 2,2003,Role-Playing,Electronic Arts,SquareSoft,T
332,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,Sledgehammer Games,M
333,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,Sledgehammer Games,M
334,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,Sledgehammer Games,M
337,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,Ubisoft Montreal,M
338,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,Ubisoft Montreal,M
339,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,Ubisoft Montreal,M
347,New Super Mario Bros. U,Wii U,2012,Platform,Nintendo,Nintendo,E
348,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004,Role-Playing,Square Enix,Level 5,T
349,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004,Role-Playing,Square Enix,Level 5,T
351,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,Level 5,E
353,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,Electronic Arts,E
354,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,Electronic Arts,E
355,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,Electronic Arts,E
356,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,Electronic Arts,E
357,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,Electronic Arts,E
359,Diablo III,PC,2012,Role-Playing,Activision,Blizzard Entertainment,M
360,Diablo III,PC,2012,Role-Playing,Activision,Blizzard Entertainment,M
361,Diablo III,PC,2012,Role-Playing,Activision,Blizzard Entertainment,M
362,Medal of Honor: Rising Sun,PlayStation 2,2003,Shooter,Electronic Arts,EA LA,T
366,Guitar Hero II,PlayStation 2,2006,Misc,RedOctane,Harmonix Music Systems,T
367,Guitar Hero II,PlayStation 2,2006,Misc,RedOctane,Harmonix Music Systems,T
368,Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
369,Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
372,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
373,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
374,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
375,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
376,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
377,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
378,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,Nintendo,E
380,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,EA Sports,E
381,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,EA Sports,E
382,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,EA Sports,E
383,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,EA Sports,E
384,Resident Evil,PlayStation,1996,Action,Virgin Interactive,Capcom,M
385,Resident Evil,PlayStation,1996,Action,Virgin Interactive,Capcom,M
386,Grand Theft Auto: Vice City Stories,PlayStation Portable,2006,Action,Take-Two Interactive,Rockstar Leeds,M
387,Grand Theft Auto: Vice City Stories,PlayStation Portable,2006,Action,Take-Two Interactive,Rockstar Leeds,M
388,Tony Hawk's Pro Skater,PlayStation,1999,Sports,Activision,Neversoft Entertainment,T
