,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,worldwide_sales
28,Gran Turismo 3: A-Spec,PlayStation 2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.969999999999999
29,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73
30,Pokémon Yellow: Special Pikachu Edition,Game Boy,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
31,Call of Duty: Black Ops 3,PlayStation 4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.629999999999999
32,Call of Duty: Black Ops,Xbox 360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.619999999999997
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6
34,Call of Duty: Black Ops II,PlayStation 3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.790000000000001
35,Call of Duty: Black Ops II,Xbox 360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.68
36,Call of Duty: Modern Warfare 2,Xbox 360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.469999999999999
37,Call of Duty: Modern Warfare 3,PlayStation 3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.33
38,Grand Theft Auto III,PlayStation 2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.100000000000001
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84
40,Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.65
41,Call of Duty: Black Ops,PlayStation 3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.629999999999999
42,Grand Theft Auto V,PlayStation 4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.620000000000001
43,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.14
44,Halo 3,Xbox 360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.120000000000001
45,Super Mario 64,Nintendo 64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.9
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68
48,Gran Turismo 4,PlayStation 2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.649999999999999
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35
50,Super Mario Land 2: 6 Golden Coins,Game Boy,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.179999999999998
51,Grand Theft Auto IV,Xbox 360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.0
52,Gran Turismo,PlayStation,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.809999999999999
54,Gran Turismo 5,PlayStation 3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7
55,Call of Duty: Modern Warfare 2,PlayStation 3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.610000000000001
57,Grand Theft Auto IV,PlayStation 3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.499999999999998
58,Pokemon FireRed/Pokemon LeafGreen,Game Boy Advance,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
59,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3
60,Call of Duty: Ghosts,Xbox 360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.24
61,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.120000000000001
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.900000000000002
63,Mario Kart 64,Nintendo 64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.870000000000001
64,Halo: Reach,Xbox 360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86
65,Final Fantasy VII,PlayStation,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.719999999999999
66,Halo 4,Xbox 360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.709999999999999
67,Gran Turismo 2,PlayStation,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44
69,Call of Duty: Ghosts,PlayStation 3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36
70,Call of Duty 4: Modern Warfare,Xbox 360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.32
72,Minecraft,Xbox 360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.17
74,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91
75,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79
77,FIFA 16,PlayStation 4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.58
78,Halo 2,Xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.48
79,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.26
81,FIFA Soccer 13,PlayStation 3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.17
82,GoldenEye 007,Nintendo 64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
83,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.06
84,Final Fantasy X,PlayStation 2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.040000000000001
85,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,8.0
87,Star Wars Battlefront (2015),PlayStation 4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98
88,Final Fantasy VIII,PlayStation,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pac-Man,Atari,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.8100000000000005
90,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.71
91,Grand Theft Auto: Liberty City Stories,PlayStation Portable,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.68
92,Call of Duty: Advanced Warfare,PlayStation 4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66
93,The Legend of Zelda: Ocarina of Time,Nintendo 64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
94,FIFA 17,PlayStation 4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.6000000000000005
95,Crash Bandicoot 2: Cortex Strikes Back,PlayStation,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.569999999999999
96,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.550000000000001
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.510000000000001
98,Super Mario Bros. 2,Nintendo,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
99,Call of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.389999999999999
100,Call of Duty: World at War,Xbox 360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.379999999999999
101,Battlefield 3,Xbox 360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32
102,Need for Speed Underground,PlayStation 2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.199999999999999
103,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.200000000000001
104,Battlefield 3,PlayStation 3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17
105,Fallout 4,PlayStation 4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.17
106,Tekken 3,PlayStation,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.180000000000001
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.16
108,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14
109,Crash Bandicoot 3: Warped,PlayStation,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
110,Mario Kart 8,Wii U,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09
111,Super Smash Bros. Melee,GameCube,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.06
112,Mario Kart: Double Dash!!,GameCube,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.950000000000001
113,Need for Speed Underground 2,PlayStation 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
114,Medal of Honor: Frontline,PlayStation 2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.84
115,Crash Bandicoot,PlayStation,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.819999999999999
116,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76
117,Gears of War 2,Xbox 360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75
118,Uncharted 3: Drake's Deception,PlayStation 3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74
119,Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.7
120,Call of Duty 4: Modern Warfare,PlayStation 3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68
121,Uncharted 2: Among Thieves,PlayStation 3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66
122,FIFA 12,PlayStation 3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.64
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63
124,The Legend of Zelda,Nintendo,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.499999999999999
125,Red Dead Redemption,PlayStation 3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.48
126,FIFA 14,PlayStation 3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.460000000000001
127,Assassin's Creed III,PlayStation 3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.44
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.45
129,Halo: Combat Evolved,Xbox,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.430000000000001
130,The Elder Scrolls V: Skyrim,PlayStation 3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.4
131,Pokémon Emerald Version,Game Boy Advance,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.420000000000001
132,Kingdom Hearts,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,Game Boy,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,Xbox 360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.35
135,Red Dead Redemption,Xbox 360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32
136,Super Mario Sunshine,GameCube,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29
139,Driver,PlayStation,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.26
140,Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21
141,Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19
142,Gears of War,Xbox 360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09
143,FIFA 15,PlayStation 4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08
144,Metal Gear Solid 2: Sons of Liberty,PlayStation 2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
146,Metal Gear Solid,PlayStation,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99
148,Final Fantasy XII,PlayStation 2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95
149,The Last of Us,PlayStation 3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.86
150,LittleBigPlanet,PlayStation 3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.819999999999999
151,Resident Evil 2,PlayStation,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.819999999999999
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.8
153,Tekken 2,PlayStation,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,Destiny,PlayStation 4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.640000000000001
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.63
156,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.62
157,Tetris,Nintendo,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.580000000000001
158,Super Smash Bros.,Nintendo 64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.5600000000000005
159,Assassin's Creed II,PlayStation 3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.54
160,Assassin's Creed,Xbox 360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.550000000000001
161,Forza Motorsport 3,Xbox 360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49
162,Super Mario Advance,Game Boy Advance,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
163,Monster Hunter Freedom Unite,PlayStation Portable,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.49
164,Batman: Arkham City,PlayStation 3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48
165,Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.47
166,Mario Kart: Super Circuit,Game Boy Advance,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.48
167,Super Mario World,Game Boy Advance,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.470000000000001
168,Pokemon Stadium,Nintendo 64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.449999999999999
169,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
170,Call of Duty: World at War,PlayStation 3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.390000000000001
171,Uncharted 4: A Thief's End,PlayStation 4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.39
172,Dr. Mario,Game Boy,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.340000000000001
173,Final Fantasy XIII,PlayStation 3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33
174,Pokemon Pinball,Game Boy,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.3100000000000005
175,Final Fantasy IX,PlayStation,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.31
176,Assassin's Creed III,Xbox 360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.290000000000001
177,Final Fantasy X-2,PlayStation 2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.279999999999999
178,Donkey Kong 64,Nintendo 64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
179,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.26
180,Minecraft,PlayStation 3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.2700000000000005
181,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.25
182,Tomb Raider II,PlayStation,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
184,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.220000000000001
185,New Super Mario Bros. U,Wii U,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.23
186,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
187,Super Mario Bros. 3,Game Boy Advance,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.21
188,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.1899999999999995
189,Super Mario Land 3: Wario Land,Game Boy,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
190,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.160000000000001
192,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14
193,Medal of Honor: Rising Sun,PlayStation 2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.14
194,Kirby's Dream Land,Game Boy,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.11
196,Guitar Hero II,PlayStation 2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12
197,Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1
198,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.090000000000001
199,Resident Evil 5,PlayStation 3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09
200,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08
201,Super Mario Bros.,Game Boy,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07
203,Resident Evil,PlayStation,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.050000000000001
204,Grand Theft Auto: Vice City Stories,PlayStation Portable,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03
205,Tony Hawk's Pro Skater,PlayStation,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
206,Warzone 2100,PlayStation,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
207,Spyro the Dragon,PlayStation,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
208,Guitar Hero III: Legends of Rock,PlayStation 2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.99
209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.97
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.930000000000001
211,Fallout 3,Xbox 360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93
212,Uncharted: Drake's Fortune,PlayStation 3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92
213,Madden NFL 06,PlayStation 2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
214,Diddy Kong Racing,Nintendo 64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.89
215,Monster Hunter Freedom 3,PlayStation Portable,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87
216,Super Smash Bros. for Wii U and 3DS,Wii U,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87
217,Dr. Mario,Nintendo,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.84
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.83
219,Assassin's Creed,PlayStation 3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82
220,God of War III,PlayStation 3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.800000000000001
221,Crash Team Racing,PlayStation,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.760000000000001
223,Driver 2,PlayStation,2000,Action,Atari,2.36,2.1,0.02,0.25,4.7299999999999995
224,Batman: Arkham City,Xbox 360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.72
225,The Last of Us,PlayStation 4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.72
226,The Simpsons: Hit & Run,PlayStation 2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.71
227,Tony Hawk's Pro Skater 2,PlayStation,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
228,The Lord of the Rings: The Two Towers,PlayStation 2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,Tomb Raider,PlayStation,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
230,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.620000000000001
231,Uncharted: The Nathan Drake Collection,PlayStation 4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62
233,The Legend of Zelda: The Wind Waker,GameCube,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.609999999999999
234,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.58
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59
236,Forza Motorsport 4,Xbox 360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.569999999999999
237,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48,4.529999999999999
238,Madden NFL 2005,PlayStation 2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.529999999999999
239,Guitar Hero III: Legends of Rock,Xbox 360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.529999999999999
240,Pitfall!,Atari,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5
241,Madden NFL 07,PlayStation 2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.49
243,Spider-Man: The Movie,PlayStation 2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
244,Dragon Quest VII: Warriors of Eden,PlayStation,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.459999999999999
245,Call of Duty: Infinite Warfare,PlayStation 4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.470000000000001
246,God of War,PlayStation 2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.449999999999999
247,Splatoon,Wii U,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.4399999999999995
248,Nintendo Land,Wii U,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42
249,Tony Hawk's Pro Skater 3,PlayStation 2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.42
250,Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.4
251,The Elder Scrolls IV: Oblivion,Xbox 360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38
252,Zelda II: The Adventure of Link,Nintendo,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,PlayStation 2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
