,name,platform,year_of_release,genre,publisher,developer,rating
177,Final Fantasy X-2,PlayStation 2,2003,Role-Playing,Electronic Arts,SquareSoft,T
179,Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,Sledgehammer Games,M
181,Assassin's Creed II,Xbox 360,2009,Action,Ubisoft,Ubisoft Montreal,M
185,New Super Mario Bros. U,Wii U,2012,Platform,Nintendo,Nintendo,E
186,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,2004,Role-Playing,Square Enix,Level 5,T
188,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,Level 5,E
190,FIFA Soccer 13,Xbox 360,2012,Action,Electronic Arts,Electronic Arts,E
192,Diablo III,PC,2012,Role-Playing,Activision,Blizzard Entertainment,M
193,Medal of Honor: Rising Sun,PlayStation 2,2003,Shooter,Electronic Arts,EA LA,T
196,Guitar Hero II,PlayStation 2,2006,Misc,RedOctane,Harmonix Music Systems,T
197,Fable III,Xbox 360,2010,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
199,Resident Evil 5,PlayStation 3,2009,Action,Capcom,Capcom,M
200,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,Nintendo,E
202,FIFA Soccer 11,PlayStation 3,2010,Sports,Electronic Arts,EA Sports,E
203,Resident Evil,PlayStation,1996,Action,Virgin Interactive,Capcom,M
204,Grand Theft Auto: Vice City Stories,PlayStation Portable,2006,Action,Take-Two Interactive,Rockstar Leeds,M
205,Tony Hawk's Pro Skater,PlayStation,1999,Sports,Activision,Neversoft Entertainment,T
208,Guitar Hero III: Legends of Rock,PlayStation 2,2007,Misc,Activision,"Neversoft Entertainment, BudCat",T
209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,Nintendo,T
211,Fallout 3,Xbox 360,2008,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
212,Uncharted: Drake's Fortune,PlayStation 3,2007,Action,Sony Computer Entertainment,"Naughty Dog, SCE/WWS",T
213,Madden NFL 06,PlayStation 2,2005,Sports,Electronic Arts,EA Sports,E
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,Blizzard Entertainment,T
219,Assassin's Creed,PlayStation 3,2007,Adventure,Ubisoft,Ubisoft Montreal,M
220,God of War III,PlayStation 3,2010,Action,Sony Computer Entertainment,SCE Santa Monica,M
221,Crash Team Racing,PlayStation,1999,Racing,Sony Computer Entertainment,Naughty Dog,E
222,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,TT Fusion,E
223,Driver 2,PlayStation,2000,Action,Atari,Reflections Interactive,T
224,Batman: Arkham City,Xbox 360,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
227,Tony Hawk's Pro Skater 2,PlayStation,2000,Sports,Activision,Neversoft Entertainment,T
228,The Lord of the Rings: The Two Towers,PlayStation 2,2002,Action,Electronic Arts,Stormfront Studios,T
229,Tomb Raider,PlayStation,1996,Action,Eidos Interactive,Core Design Ltd.,T
230,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,Nintendo,E
231,Uncharted: The Nathan Drake Collection,PlayStation 4,2015,Action,Sony Computer Entertainment,Bluepoint Games,T
233,The Legend of Zelda: The Wind Waker,GameCube,2002,Action,Nintendo,Nintendo,E
234,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,Vicarious Visions,T
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,Next Level Games,E
236,Forza Motorsport 4,Xbox 360,2011,Racing,Microsoft Game Studios,Turn 10,E
238,Madden NFL 2005,PlayStation 2,2004,Sports,Electronic Arts,EA Tiburon,E
239,Guitar Hero III: Legends of Rock,Xbox 360,2007,Misc,Activision,Neversoft Entertainment,T
241,Madden NFL 07,PlayStation 2,2006,Sports,Electronic Arts,EA Sports,E
242,Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,343 Industries,T
243,Spider-Man: The Movie,PlayStation 2,2002,Action,Activision,Treyarch,E
245,Call of Duty: Infinite Warfare,PlayStation 4,2016,Shooter,Activision,Infinity Ward,M
246,God of War,PlayStation 2,2005,Action,Sony Computer Entertainment,SCE Santa Monica,M
247,Splatoon,Wii U,2015,Shooter,Nintendo,Nintendo,E10+
248,Nintendo Land,Wii U,2012,Misc,Nintendo,Nintendo,E10+
249,Tony Hawk's Pro Skater 3,PlayStation 2,2001,Sports,Activision,Neversoft Entertainment,T
250,Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,2006,Sports,Konami Digital Entertainment,Konami,E
251,The Elder Scrolls IV: Oblivion,Xbox 360,2006,Role-Playing,Take-Two Interactive,Bethesda Softworks,M
253,Need for Speed: Most Wanted,PlayStation 2,2005,Racing,Electronic Arts,EA Canada,T
254,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,"Ubisoft Paris, Ubisoft Montpellier",E10+
256,Resistance: Fall of Man,PlayStation 3,2006,Shooter,Sony Computer Entertainment,Insomniac Games,M
258,Kingdom Hearts II,PlayStation 2,2005,Role-Playing,Square Enix,Square Enix,E10+
260,Super Mario 3D World,Wii U,2013,Platform,Nintendo,Nintendo,E
265,Fable II,Xbox 360,2008,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
266,Namco Museum,Game Boy Advance,2001,Misc,Namco Bandai Games,Mass Media,E
267,Batman: Arkham Asylum,PlayStation 3,2009,Action,Eidos Interactive,Rocksteady Studios,T
268,Metal Gear Solid 3: Snake Eater,PlayStation 2,2004,Action,Konami Digital Entertainment,KCEJ,M
269,Assassin's Creed: Revelations,PlayStation 3,2011,Action,Ubisoft,Ubisoft Montreal,M
270,Fallout 4,Xbox One,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
271,FIFA 14,Xbox 360,2013,Sports,Electronic Arts,EA Canada,E
272,Daxter,PlayStation Portable,2006,Platform,Sony Computer Entertainment,Ready at Dawn,E10+
274,FIFA Soccer 06,PlayStation 2,2005,Sports,Electronic Arts,EA Canada,E
275,EyeToy Play,PlayStation 2,2003,Misc,Sony Computer Entertainment,"SCEE, Zoe Mode",E
276,Gran Turismo 5 Prologue,PlayStation 3,2007,Racing,Sony Computer Entertainment,Polyphony Digital,E
277,Assassin's Creed: Revelations,Xbox 360,2011,Action,Ubisoft,Ubisoft Montreal,M
280,Street Fighter IV,PlayStation 3,2009,Fighting,Capcom,Capcom,T
283,Madden NFL 2003,PlayStation 2,2002,Sports,Electronic Arts,EA Sports,E
284,Half-Life,PC,1997,Shooter,Vivendi Games,Valve Software,M
288,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,Blizzard Entertainment,T
289,Battlefield 1,PlayStation 4,2016,Shooter,Electronic Arts,EA DICE,M
290,God of War II,PlayStation 2,2007,Action,Sony Computer Entertainment,SCE Santa Monica,M
292,Fallout: New Vegas,Xbox 360,2010,Role-Playing,Bethesda Softworks,Obsidian Entertainment,M
293,Forza Motorsport 2,Xbox 360,2007,Racing,Microsoft Game Studios,Turn 10,E
294,Carnival Games,Wii,2007,Misc,Take-Two Interactive,Cat Daddy Games,E
295,Watch Dogs,PlayStation 4,2014,Action,Ubisoft,Ubisoft Montreal,M
297,Tekken Tag Tournament,PlayStation 2,2000,Fighting,Namco Bandai Games,Namco,T
298,Far Cry 4,PlayStation 4,2014,Shooter,Ubisoft,Ubisoft Montreal,M
302,Left 4 Dead 2,Xbox 360,2009,Shooter,Electronic Arts,Valve Software,M
303,The Witcher 3: Wild Hunt,PlayStation 4,2015,Role-Playing,Namco Bandai Games,CD Projekt Red Studio,M
304,Assassin's Creed: Unity,PlayStation 4,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
305,Batman: Arkham Knight,PlayStation 4,2015,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,M
306,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,Nintendo,E10+
307,Fallout 3,PlayStation 3,2008,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
308,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,Level 5,E10+
310,EA Sports Active,Wii,2009,Sports,Electronic Arts,EA Canada,E
311,Tony Hawk's Underground,PlayStation 2,2003,Sports,Activision,Neversoft Entertainment,T
312,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,Capcom,T
313,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
314,NBA 2K16,PlayStation 4,2015,Sports,Take-Two Interactive,Visual Concepts,E10+
315,Tekken 5,PlayStation 2,2005,Fighting,Namco Bandai Games,Namco,T
317,MotorStorm,PlayStation 3,2006,Racing,Sony Computer Entertainment,Evolution Studios,T
319,World Soccer Winning Eleven 8 International,PlayStation 2,2004,Sports,Konami Digital Entertainment,KCET,E
320,Sports Champions,PlayStation 3,2010,Sports,Sony Computer Entertainment,"SCEA, Zindagi Games",E10+
323,Call of Duty: Ghosts,PlayStation 4,2013,Shooter,Activision,Infinity Ward,M
324,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,"Nintendo, Namco Bandai Games",E
325,Tom Clancy's The Division,PlayStation 4,2016,Shooter,Ubisoft,Massive Entertainment,M
326,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,Nintendo,E
329,LEGO Indiana Jones: The Original Adventures,Xbox 360,2008,Action,Activision,Traveller's Tales,E10+
330,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,Maxis,T
332,Harry Potter and the Sorcerer's Stone,PlayStation,2001,Action,Electronic Arts,Argonaut Games,E
335,Super Paper Mario,Wii,2007,Platform,Nintendo,Intelligent Systems,E
336,Spyro: Year of the Dragon,PlayStation,2000,Platform,Sony Computer Entertainment,Insomniac Games,E
337,Assassin's Creed IV: Black Flag,PlayStation 3,2013,Action,Ubisoft,Ubisoft,M
338,FIFA Soccer 2005,PlayStation 2,2004,Sports,Electronic Arts,EA Canada,E
341,Tony Hawk's Pro Skater 4,PlayStation 2,2002,Sports,Activision,Neversoft Entertainment,T
343,MySims,DS,2007,Simulation,Electronic Arts,TOSE,E
344,Midnight Club 3: DUB Edition,PlayStation Portable,2005,Racing,Take-Two Interactive,Rockstar Leeds,E10+
346,SOCOM: U.S. Navy SEALs,PlayStation 2,2002,Shooter,Sony Computer Entertainment,Zipper Interactive,M
347,Jak and Daxter: The Precursor Legacy,PlayStation 2,2001,Platform,Sony Computer Entertainment,Naughty Dog,E
349,Pro Evolution Soccer 2008,PlayStation 2,2007,Sports,Konami Digital Entertainment,Konami,E
350,Resident Evil 4,PlayStation 2,2005,Action,Capcom,Capcom,M
351,Guitar Hero: World Tour,Wii,2008,Misc,Activision,Vicarious Visions,T
352,FIFA Soccer 10,PlayStation 3,2009,Sports,Electronic Arts,EA Sports,E
353,Star Wars: Battlefront,PlayStation 2,2004,Shooter,LucasArts,Pandemic Studios,T
355,The Simpsons: Road Rage,PlayStation 2,2001,Racing,Electronic Arts,Fox Interactive,T
356,Luigi's Mansion,GameCube,2001,Action,Nintendo,Nintendo,E
357,Battlefield 4,PlayStation 4,2013,Shooter,Electronic Arts,EA DICE,M
358,Star Wars: Battlefront II,PlayStation 2,2005,Shooter,LucasArts,Pandemic Studios,T
360,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,Office Create,E
363,Grand Theft Auto: Liberty City Stories,PlayStation 2,2006,Action,Take-Two Interactive,Rockstar Leeds,M
364,The Getaway,PlayStation 2,2002,Action,Sony Computer Entertainment,Team Soho,M
366,James Bond 007: Agent Under Fire,PlayStation 2,2001,Shooter,Electronic Arts,EA Redwood Shores,T
369,FIFA Soccer 11,Xbox 360,2010,Sports,Electronic Arts,EA Sports,E
371,Left 4 Dead,Xbox 360,2008,Shooter,Electronic Arts,Certain Affinity,M
373,Assassin's Creed: Unity,Xbox One,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
375,Resident Evil 5,Xbox 360,2009,Action,Capcom,Capcom,M
376,Assassin's Creed: Brotherhood,Xbox 360,2010,Action,Ubisoft,Ubisoft Montreal,M
378,Battlefield 4,PlayStation 3,2013,Shooter,Electronic Arts,EA DICE,M
379,Batman: Arkham Asylum,Xbox 360,2009,Action,Eidos Interactive,Rocksteady Studios,T
380,Battlefield 4,Xbox 360,2013,Shooter,Electronic Arts,EA DICE,M
381,Battlefield: Bad Company 2,Xbox 360,2010,Shooter,Electronic Arts,EA DICE,M
383,Guitar Hero: On Tour,DS,2008,Misc,Activision,Vicarious Visions,E10+
384,Clubhouse Games,DS,2006,Misc,Nintendo,Agenda,E
386,Borderlands,Xbox 360,2009,Shooter,Take-Two Interactive,Gearbox Software,M
387,Tekken 4,PlayStation 2,2002,Fighting,Namco Bandai Games,Namco,T
389,Grand Theft Auto 2,PlayStation,1998,Action,Take-Two Interactive,DMA Design,T
390,Metal Gear Solid V: The Phantom Pain,PlayStation 4,2015,Action,Konami Digital Entertainment,"Kojima Productions, Moby Dick Studio",M
391,Spider-Man 2,PlayStation 2,2004,Action,Activision,Treyarch,T
393,FIFA Soccer 2003,PlayStation 2,2002,Sports,Electronic Arts,EA Canada,E
394,LittleBigPlanet 2,PlayStation 3,2011,Platform,Sony Computer Entertainment,Media Molecule,E
395,Crash Bash,PlayStation,2000,Misc,Sony Computer Entertainment,Eurocom Entertainment Software,E
396,Assassin's Creed Syndicate,PlayStation 4,2015,Action,Ubisoft,Ubisoft Quebec,M
397,LEGO Batman: The Videogame,Xbox 360,2008,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+
398,Destiny,Xbox One,2014,Shooter,Activision,"Bungie Software, Bungie",T
401,Far Cry 3,PlayStation 3,2012,Shooter,Ubisoft,Ubisoft Montreal,M
404,James Bond 007: Nightfire,PlayStation 2,2002,Shooter,Electronic Arts,Eurocom Entertainment Software,T
407,Star Wars Episode III: Revenge of the Sith,PlayStation 2,2005,Action,LucasArts,Double Helix Games,T
408,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,Nintendo,E10+
409,Max Payne,PlayStation 2,2001,Shooter,Take-Two Interactive,Rockstar Toronto,M
410,Assassin's Creed IV: Black Flag,Xbox 360,2013,Action,Ubisoft,Ubisoft,M
411,The Lord of the Rings: The Return of the King,PlayStation 2,2003,Action,Electronic Arts,EA Games,T
413,Gears of War: Ultimate Edition,Xbox One,2015,Shooter,Microsoft Game Studios,"Splash Damage, The Coalition",M
414,True Crime: Streets of LA,PlayStation 2,2003,Action,Activision,"Luxoflux, Inc.",M
415,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,Level 5,E10+
417,FIFA 16,Xbox One,2015,Sports,Electronic Arts,EA Sports,E
418,Wii Music,Wii,2008,Misc,Nintendo,Nintendo,E
420,Madden NFL 16,PlayStation 4,2015,Sports,Electronic Arts,EA Sports,E
421,Gran Turismo 6,PlayStation 3,2013,Racing,Sony Computer Entertainment,Polyphony Digital,E
422,Halo: The Master Chief Collection,Xbox One,2014,Shooter,Microsoft Game Studios,343 Industries,M
424,Super Mario Maker,Wii U,2015,Platform,Nintendo,Nintendo,E
429,God of War: Chains of Olympus,PlayStation Portable,2008,Action,Sony Computer Entertainment,Ready at Dawn,M
430,Enter the Matrix,PlayStation 2,2003,Action,Atari,Shiny Entertainment,T
431,Crisis Core: Final Fantasy VII,PlayStation Portable,2007,Role-Playing,Square Enix,Square Enix,T
432,Dance Central,Xbox 360,2010,Misc,MTV Games,Harmonix Music Systems,T
433,L.A. Noire,PlayStation 3,2011,Adventure,Take-Two Interactive,Team Bondi,M
434,Ace Combat 04: Shattered Skies,PlayStation 2,2001,Simulation,Sony Computer Entertainment Europe,Namco,E
435,Animal Crossing,GameCube,2001,Simulation,Nintendo,Nintendo,E
436,FIFA Soccer 08,PlayStation 2,2007,Sports,Electronic Arts,EA Canada,E
438,Spider-Man,PlayStation,2000,Action,Activision,Neversoft Entertainment,E
439,Mario Party 9,Wii,2012,Misc,Nintendo,Nd Cube,E
442,Sonic Rush,DS,2005,Platform,Sega,"Dimps Corporation, Sonic Team",E
444,Rhythm Heaven,DS,2008,Misc,Nintendo,Nintendo,E
445,Fallout: New Vegas,PlayStation 3,2010,Role-Playing,Bethesda Softworks,Obsidian Entertainment,M
446,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,Indies Zero,E
447,The Elder Scrolls IV: Oblivion,PlayStation 3,2007,Role-Playing,Ubisoft,4J Studios,M
